step,proxy_reward,true_reward,policy_entropy,distinct_completions,kl_to_ref,kl_loss_fraction,grad_norm,half_batch_grad_cosine,half_batch_grad_cosine_centered,max_abs_advantage,group_pass_rate,frac_degenerate_groups,tokens
0,0.1328125,0.4140625,0.520296852646638,102,0.0,0.0,2.8287301063537598,0.4563179314136505,,2.6457513110645907,0.4140625,0.5,1398
1,0.109375,0.5,0.5512179736024845,93,0.0,0.0,2.20827579498291,-0.053722623735666275,,2.6457513110645907,0.5,0.375,1288
2,0.1328125,0.3125,0.5884194053208138,99,0.0,0.0,2.8928775787353516,0.2986670732498169,,2.6457513110645907,0.3125,0.375,1278
3,0.1875,0.390625,0.47780172413793104,101,0.0,0.0,4.249965667724609,0.8080439567565918,,2.6457513110645907,0.390625,0.1875,1450
4,0.25,0.421875,0.5267588412340105,89,0.0,0.0,6.738097667694092,0.16413269937038422,,2.6457513110645907,0.421875,0.125,1329
5,0.265625,0.5,0.45433311855670105,92,0.0,0.0,5.656947135925293,0.7855682373046875,,2.6457513110645907,0.5,0.3125,1552
6,0.2265625,0.3359375,0.5863026819923371,105,0.0,0.0,7.819005012512207,0.8353455066680908,,2.6457513110645907,0.3359375,0.125,1305
7,0.3046875,0.484375,0.4467624653739612,92,0.0,0.0,9.565041542053223,0.9271080493927002,,2.6457513110645907,0.484375,0.0625,1444
8,0.5234375,0.4453125,0.49307722308892354,85,0.0,0.0,10.268623352050781,0.8606702089309692,,1.7320508075688774,0.4453125,0.125,1282
9,0.6875,0.4375,0.433140802092415,85,0.0,0.0,7.882419586181641,0.901720404624939,,2.6457513110645907,0.4375,0.125,1147
10,0.8125,0.421875,0.4044258832565284,87,2.469482421875,0.0,5.956138610839844,0.6055966019630432,,2.6457513110645907,0.421875,0.375,1302
11,0.8671875,0.703125,0.24985872513562388,44,0.0,0.0,4.7188239097595215,0.8217654228210449,,2.6457513110645907,0.703125,0.4375,1106
12,0.921875,0.1953125,0.3966090425531915,70,0.0,0.0,2.928410291671753,0.3711870610713959,,2.6457513110645907,0.1953125,0.4375,1128
13,0.9296875,0.3984375,0.29378312720848054,69,0.0,0.0,2.6757564544677734,0.3791227340698242,,2.6457513110645907,0.3984375,0.5625,1132
14,0.9609375,0.5078125,0.23701388888888889,65,0.0,0.0,2.5582008361816406,0.5217642188072205,,2.6457513110645907,0.5078125,0.75,1125
15,0.9921875,0.640625,0.22521693760984182,51,0.0,0.0,0.39099064469337463,0.0,,2.6457513110645907,0.640625,0.9375,1138
16,0.9921875,0.546875,0.20155400815217392,58,0.0,0.0,0.8974506258964539,0.0,,2.6457513110645907,0.546875,0.9375,1104
17,0.96875,0.5078125,0.24348603542234332,66,0.0,0.0,1.1811467409133911,0.0,,1.7320508075688774,0.5078125,0.875,1101
18,0.96875,0.625,0.22759514585232452,52,0.0,0.0,1.0777570009231567,0.0,,2.6457513110645907,0.625,0.8125,1097
19,0.984375,0.3046875,0.28895663956639567,73,0.0,0.0,1.175378441810608,0.0,,2.6457513110645907,0.3046875,0.875,1107
20,0.96875,0.4453125,0.2785371336589698,69,3.12744140625,0.0,1.693424940109253,-0.21473082900047302,,2.6457513110645907,0.4453125,0.75,1126
21,0.9921875,0.4375,0.24138127853881278,62,0.0,0.0,0.7287318110466003,0.0,,2.6457513110645907,0.4375,0.9375,1095
22,0.984375,0.3671875,0.2607579667863555,68,0.0,0.0,0.8527716994285583,0.0,,2.6457513110645907,0.3671875,0.875,1114
23,0.9609375,0.4140625,0.28744493392070486,67,0.0,0.0,0.9415335655212402,0.280888170003891,,2.6457513110645907,0.4140625,0.6875,1135
24,0.9765625,0.4921875,0.2216681776971895,63,0.0,0.0,0.46890324354171753,0.10718603432178497,,2.6457513110645907,0.4921875,0.8125,1103
25,0.984375,0.5,0.2782399299474606,68,0.0,0.0,0.8533788323402405,-0.04822305217385292,,2.6457513110645907,0.5,0.875,1142
26,0.9765625,0.515625,0.21528329174228675,54,0.0,0.0,1.9516226053237915,0.0,,2.6457513110645907,0.515625,0.8125,1102
27,0.9921875,0.453125,0.23955518018018018,58,0.0,0.0,0.19080199301242828,0.0,,2.6457513110645907,0.453125,0.9375,1110
28,0.9921875,0.3125,0.2528119459219858,69,0.0,0.0,0.18228811025619507,0.0,,2.6457513110645907,0.3125,0.9375,1128
29,0.9765625,0.5390625,0.233853930353902,55,0.0,0.0,0.5490047335624695,0.07792380452156067,,2.6457513110645907,0.5390625,0.8125,1102
30,0.9921875,0.421875,0.22745595079787234,62,2.3841552734375,0.0,0.4725610315799713,0.0,,2.6457513110645907,0.421875,0.9375,1128
31,0.9921875,0.390625,0.2664275568181818,65,0.0,0.0,0.4309311807155609,0.0,,2.6457513110645907,0.390625,0.9375,1100
32,0.984375,0.2890625,0.29517574740034663,71,0.0,0.0,0.3447900116443634,0.0,,1.7320508075688774,0.2890625,0.9375,1154
33,1.0,0.3515625,0.2356747287522604,68,0.0,0.0,0.0,0.0,,0.0,0.3515625,1.0,1106
34,1.0,0.46875,0.26197267364203025,65,0.0,0.0,0.0,0.0,,0.0,0.46875,1.0,1123
35,1.0,0.3359375,0.26452113719234277,69,0.0,0.0,0.0,0.0,,0.0,0.3359375,1.0,1097
36,1.0,0.4140625,0.23887735637342908,56,0.0,0.0,0.0,0.0,,0.0,0.4140625,1.0,1114
37,1.0,0.578125,0.18053575501824817,43,0.0,0.0,0.0,0.0,,0.0,0.578125,1.0,1096
38,0.9921875,0.5546875,0.18796309389140273,52,0.0,0.0,0.6450165510177612,0.0,,2.6457513110645907,0.5546875,0.9375,1105
39,0.9921875,0.6015625,0.14888512757385855,45,0.0,0.0,0.24558457732200623,0.0,,2.6457513110645907,0.6015625,0.9375,1117
40,0.9921875,0.5078125,0.1721542769266481,51,3.001220703125,0.0,0.19043637812137604,0.0,,2.6457513110645907,0.5078125,0.9375,1077
41,0.9921875,0.515625,0.16476879612546125,54,0.0,0.0,0.20849816501140594,0.0,,2.6457513110645907,0.515625,0.9375,1084
42,0.9921875,0.4765625,0.20936004443938014,52,0.0,0.0,0.3570232689380646,0.0,,2.6457513110645907,0.4765625,0.9375,1097
43,0.9921875,0.578125,0.2273867222723174,49,0.0,0.0,0.27099481225013733,0.0,,2.6457513110645907,0.578125,0.9375,1109
44,1.0,0.21875,0.2675290338868941,69,0.0,0.0,0.0,0.0,,0.0,0.21875,1.0,1114
45,0.9921875,0.3828125,0.21694168173598552,57,0.0,0.0,0.21576374769210815,0.0,,2.6457513110645907,0.3828125,0.9375,1106
46,1.0,0.515625,0.2145976457774799,65,0.0,0.0,0.0,0.0,,0.0,0.515625,1.0,1119
47,1.0,0.4375,0.24451595862989323,58,0.0,0.0,0.0,0.0,,0.0,0.4375,1.0,1124
48,1.0,0.4609375,0.23444937103354488,63,0.0,0.0,0.0,0.0,,0.0,0.4609375,1.0,1103
49,0.9921875,0.5234375,0.19131088946654612,55,0.0,0.0,0.39315590262413025,0.0,,2.6457513110645907,0.5234375,0.9375,1106
50,1.0,0.3671875,0.27733671804680465,59,2.55810546875,0.0,0.0,0.0,,0.0,0.3671875,1.0,1111
51,1.0,0.4375,0.2567231904973357,63,0.0,0.0,0.0,0.0,,0.0,0.4375,1.0,1126
52,1.0,0.578125,0.17905193098720293,46,0.0,0.0,0.0,0.0,,0.0,0.578125,1.0,1094
