step,proxy_reward,true_reward,policy_entropy,distinct_completions,kl_to_ref,kl_loss_fraction,grad_norm,half_batch_grad_cosine,half_batch_grad_cosine_centered,max_abs_advantage,group_pass_rate,frac_degenerate_groups,tokens
0,0.5275234375,0.515625,0.47767564018384767,97,0.0,0.0,6.188817977905273,0.5705448985099792,,2.6457513110648425,0.515625,0.0,1523
1,0.48362499999999997,0.46875,0.42338497899159666,101,0.027587890625,0.0002805844189068541,5.719419479370117,0.5893560647964478,,2.6456962308736105,0.46875,0.0,1904
2,0.57671875,0.5625,0.4501786695986806,106,0.0302734375,0.00022867497112690293,3.2384986877441406,0.051059987396001816,,2.645746120154135,0.5625,0.0,1820
3,0.5986484375,0.5859375,0.3959741856177013,82,0.07550048828125,0.0005894160101748934,5.140507698059082,0.5120481848716736,,2.6452713117942728,0.5859375,0.0625,1627
4,0.4680703125,0.453125,0.3689231573444851,97,0.176025390625,0.0012456800098849389,5.105302333831787,0.5724744200706482,,2.6455923414541327,0.453125,0.0,1913
5,0.7221953125,0.703125,0.29631810733306024,102,0.365234375,0.002479001021705688,5.14863395690918,0.6268162131309509,,2.645683108634064,0.703125,0.0,2441
6,0.754546875,0.734375,0.2711076684740511,102,0.80517578125,0.009429620668102191,4.223179817199707,0.6741655468940735,,2.645515006879769,0.734375,0.0,2582
7,0.67675,0.65625,0.2622427591463415,95,1.01104736328125,0.007505795846046492,5.0219645500183105,0.7279239892959595,,2.6457513110645907,0.65625,0.0625,2624
8,0.89853125,0.875,0.23634628154050466,104,1.501220703125,0.010845868584473634,6.584766864776611,0.7590696811676025,,2.6456876247416075,0.875,0.0,3012
9,0.4533203125,0.4296875,0.25053719008264463,115,1.7369384765625,0.013974610758770446,2.4456019401550293,0.8423461318016052,,2.6457188683754995,0.4296875,0.0,3025
10,0.8140859375,0.7890625,0.2458632532001249,108,1.0782470703125,0.014491663796253336,2.928260326385498,0.7165386080741882,,2.6456969456517854,0.7890625,0.0,3203
11,0.7987656249999999,0.7734375,0.20384793337446022,104,1.9100341796875,0.020961072162784016,0.9646142721176147,0.02699732594192028,,2.645611426863526,0.7734375,0.0,3242
12,0.659359375,0.6328125,0.2256842260153031,108,3.67498779296875,0.04471220315069359,1.142796516418457,0.6086351275444031,,2.645673761333291,0.6328125,0.0,3398
13,0.760359375,0.734375,0.18220084185207455,104,3.2896728515625,0.03082004373258511,1.3647629022598267,0.4445579946041107,,2.6456400073286934,0.734375,0.0,3326
14,0.6210078125,0.59375,0.21561604584527222,113,2.99835205078125,0.024687786412589945,0.647428572177887,0.4226020574569702,,2.645658683010746,0.59375,0.0,3489
15,0.730328125,0.703125,0.2246553704767375,117,3.458984375,0.03673693477032506,1.2890290021896362,0.19188374280929565,,2.6455576655886976,0.703125,0.0,3482
16,0.5841953125,0.5546875,0.24708686440677965,116,2.35015869140625,0.01677642778913557,0.9768646955490112,0.4211795926094055,,2.645515962952692,0.5546875,0.0,3777
17,0.6379374999999999,0.609375,0.22606673960612692,115,4.3243408203125,0.030513142465888748,0.7780582308769226,-0.07130415737628937,,2.645654484046194,0.609375,0.0,3656
18,0.7549843749999999,0.7265625,0.19266968947513052,112,2.492919921875,0.023397856104361108,0.8838034272193909,0.6070854067802429,,2.6457304868985214,0.7265625,0.0,3638
