step,proxy_reward,true_reward,policy_entropy,distinct_completions,kl_to_ref,kl_loss_fraction,grad_norm,half_batch_grad_cosine,half_batch_grad_cosine_centered,max_abs_advantage,group_pass_rate,frac_degenerate_groups,tokens
0,0.4140625,0.4140625,0.520296852646638,102,0.0,0.0,0.0,0.0,,0.0,0.4140625,1.0,1398
1,0.4609375,0.4609375,0.5830392156862745,98,0.0,0.0,0.0,0.0,,0.0,0.4609375,1.0,1275
2,0.375,0.375,0.5765054744525547,103,0.0,0.0,0.0,0.0,,0.0,0.375,1.0,1370
3,0.40625,0.40625,0.5006161971830986,96,0.0,0.0,0.0,0.0,,0.0,0.40625,1.0,1420
4,0.4921875,0.4921875,0.5208402731512325,98,0.0,0.0,0.0,0.0,,0.0,0.4921875,1.0,1501
5,0.4609375,0.4609375,0.5004337265787647,96,0.0,0.0,0.0,0.0,,0.0,0.4609375,1.0,1441
6,0.375,0.375,0.5758676351896691,93,0.0,0.0,0.0,0.0,,0.0,0.375,1.0,1239
7,0.546875,0.546875,0.4388658940397351,91,0.0,0.0,0.0,0.0,,0.0,0.546875,1.0,1510
8,0.4140625,0.4140625,0.5318355308813324,107,0.0,0.0,0.0,0.0,,0.0,0.4140625,1.0,1441
9,0.421875,0.421875,0.5256030701754386,92,0.0,0.0,0.0,0.0,,0.0,0.421875,1.0,1140
10,0.34375,0.34375,0.5629893238434164,108,0.0,0.0,0.0,0.0,,0.0,0.34375,1.0,1405
11,0.4921875,0.4921875,0.538977519941987,95,0.0,0.0,0.0,0.0,,0.0,0.4921875,1.0,1379
12,0.375,0.375,0.6079180064308681,96,0.0,0.0,0.0,0.0,,0.0,0.375,1.0,1244
13,0.4609375,0.4609375,0.4604616116751269,101,0.0,0.0,0.0,0.0,,0.0,0.4609375,1.0,1576
14,0.3984375,0.3984375,0.6732283464566929,101,0.0,0.0,0.0,0.0,,0.0,0.3984375,1.0,1143
15,0.4609375,0.4609375,0.4527810826888757,101,0.0,0.0,0.0,0.0,,0.0,0.4609375,1.0,1681
