step,proxy_reward,true_reward,policy_entropy,distinct_completions,kl_to_ref,kl_loss_fraction,grad_norm,half_batch_grad_cosine,half_batch_grad_cosine_centered,max_abs_advantage,group_pass_rate,frac_degenerate_groups,tokens
0,0.4375,0.4375,0.5800438596491229,12,0.0,0.0,6.146481037139893,-0.22349922358989716,,2.6457513110645907,0.4375,0.0,114
1,1.0,1.0,0.31420765027322406,10,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,183
2,0.8125,0.8125,0.29008152173913043,14,0.0,0.0,4.322679042816162,0.08519019186496735,,2.6457513110645907,0.8125,0.0,184
3,1.0,1.0,0.1875,6,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,142
4,0.875,0.875,0.18893129770992367,5,0.0,0.0,6.244367599487305,0.06820188462734222,,2.6457513110645907,0.875,0.0,131
5,1.0,1.0,0.072021484375,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,128
6,1.0,1.0,0.0499267578125,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,128
7,1.0,1.0,0.044937015503875966,3,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,129
8,1.0,1.0,0.07518796992481203,3,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,133
9,1.0,1.0,0.0810546875,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,128
10,1.0,1.0,0.15048363095238096,4,2.1728515625,0.0,0.0,0.0,,0.0,1.0,1.0,168
11,1.0,1.0,0.1174045138888889,3,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,144
12,1.0,1.0,0.14546654929577466,6,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,142
13,1.0,1.0,0.23672279792746115,5,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,193
14,1.0,1.0,0.19469424460431656,3,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,139
15,1.0,1.0,0.1794871794871795,4,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,156
16,0.9375,0.9375,0.21634615384615385,6,0.0,0.0,1.510598063468933,0.0,,2.6457513110645907,0.9375,0.5,169
17,0.9375,0.9375,0.053790983606557374,3,0.0,0.0,5.767068386077881,0.0,,2.6457513110645907,0.9375,0.5,122
18,0.75,0.75,0.06024169921875,4,0.0,0.0,9.45646858215332,0.0,,1.0,0.75,0.5,128
19,1.0,1.0,0.009796142578125,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,128
20,1.0,1.0,0.013397216796875,2,1.8203125,0.0,0.0,0.0,,0.0,1.0,1.0,128
21,1.0,1.0,0.015411376953125,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,128
22,1.0,1.0,0.02764892578125,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,128
23,1.0,1.0,0.037841796875,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,128
24,0.5,0.5,0.08052884615384616,5,0.0,0.0,0.0,0.0,,0.0,0.5,1.0,130
25,1.0,1.0,0.0460205078125,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,128
26,0.9375,0.9375,0.042548076923076925,5,0.0,0.0,4.2232584953308105,0.0,,2.6457513110645907,0.9375,0.5,130
27,1.0,1.0,0.07615740740740741,4,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,135
28,1.0,1.0,0.012237762237762238,3,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,143
29,1.0,1.0,0.004964192708333333,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,144
30,0.8125,0.8125,0.04736826371173469,4,8.3125,0.0,6.333207607269287,0.0,,1.2909944487358056,0.8125,0.5,147
31,0.6875,0.6875,0.040776570638020836,3,0.0,0.0,9.430946350097656,0.0,,1.2909944487358056,0.6875,0.5,144
32,1.0,1.0,0.00677490234375,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,144
33,0.25,0.25,0.04367404513888889,4,0.0,0.0,5.2611517906188965,0.0,,1.0,0.25,0.5,144
34,1.0,1.0,0.0014563666449652778,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,144
35,1.0,1.0,0.36527777777777776,4,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,180
36,1.0,1.0,0.034103667664670656,3,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,167
37,1.0,1.0,0.21308290155440415,6,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,193
38,1.0,1.0,0.37615006345177665,9,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,197
39,0.9375,0.9375,0.15198863636363635,5,0.0,0.0,7.7804131507873535,0.0,,2.6457513110645907,0.9375,0.5,198
40,0.8125,0.8125,0.28513071895424835,6,17.39453125,0.0,62.56180953979492,0.0,,1.2909944487358056,0.8125,0.5,153
41,1.0,1.0,0.0775523560209424,4,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,191
42,0.9375,0.9375,0.26851851851851855,6,0.0,0.0,8.83203411102295,0.0,,2.6457513110645907,0.9375,0.5,189
43,1.0,1.0,0.047383626302083336,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,192
44,0.9375,0.9375,0.0634765625,6,0.0,0.0,2.7831456661224365,0.0,,2.6457513110645907,0.9375,0.5,192
45,1.0,1.0,0.022135416666666668,3,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,192
46,0.5,0.5,0.01763916015625,2,0.0,0.0,0.0,0.0,,0.0,0.5,1.0,192
47,0.9375,0.9375,0.016947751322751323,3,0.0,0.0,5.501694202423096,0.0,,2.6457513110645907,0.9375,0.5,189
48,1.0,1.0,0.00595855712890625,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,192
49,1.0,1.0,0.037160237630208336,2,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,192
