step,proxy_reward,true_reward,policy_entropy,distinct_completions,kl_to_ref,kl_loss_fraction,grad_norm,half_batch_grad_cosine,half_batch_grad_cosine_centered,max_abs_advantage,group_pass_rate,frac_degenerate_groups,tokens
0,0.4375,0.4375,0.7158882783882784,106,0.0,0.0,3.395655870437622,0.1919523924589157,,2.6457513110645907,0.4375,0.1875,1092
1,0.375,0.375,0.6489380849532037,108,0.0367431640625,0.000252987723725797,5.123663425445557,0.5640844106674194,,2.6457513110645907,0.375,0.125,1389
2,0.359375,0.359375,0.7164107485604606,105,0.02777099609375,0.0003406762303879311,4.366199016571045,0.4652356803417206,,2.6457513110645907,0.359375,0.1875,1042
3,0.515625,0.515625,0.5647708505367465,93,0.03533935546875,0.0002752427568339827,4.496743202209473,0.44966912269592285,,2.6457513110645907,0.515625,0.125,1211
4,0.515625,0.515625,0.6303251121076233,104,0.11273193359375,0.0008567741136607932,7.438373565673828,0.6852657198905945,,2.6457513110645907,0.515625,0.0,1338
5,0.5546875,0.5546875,0.6020299145299145,105,0.261474609375,0.0014450798096308911,5.283088684082031,-0.16626860201358795,,2.6457513110645907,0.5546875,0.0625,1638
6,0.6015625,0.6015625,0.493886695018226,99,0.38543701171875,0.003062430597220345,2.937769889831543,0.6857134103775024,,2.6457513110645907,0.6015625,0.125,1646
7,0.640625,0.640625,0.47633426966292136,81,0.68994140625,0.006267580920703958,3.027496576309204,0.40105029940605164,,2.6457513110645907,0.640625,0.125,1780
8,0.71875,0.71875,0.4120780298837853,91,1.031982421875,0.01125935035075227,4.097279071807861,0.7181620597839355,,2.6457513110645907,0.71875,0.1875,1807
9,0.4296875,0.4296875,0.39876893939393937,101,1.4261474609375,0.012553485796816186,2.8241562843322754,0.5641167759895325,,2.6457513110645907,0.4296875,0.1875,1980
10,0.703125,0.703125,0.43858595194085026,112,1.68170166015625,0.01630413585909695,1.84224534034729,-0.33744245767593384,,2.6457513110645907,0.703125,0.4375,2705
11,0.59375,0.59375,0.4008436565570269,103,1.7418212890625,0.01860869889015603,1.0360485315322876,-0.056294865906238556,,2.6457513110645907,0.59375,0.3125,2341
12,0.6171875,0.6171875,0.41729249011857705,109,3.433837890625,0.047321504825808304,5.037112236022949,0.5565199255943298,,2.6457513110645907,0.6171875,0.3125,2531
13,0.6328125,0.6328125,0.3788821585903084,97,2.9603271484375,0.020718001848216316,3.262972354888916,0.21072602272033691,,2.6457513110645907,0.6328125,0.125,2270
14,0.484375,0.484375,0.36809098639455784,108,1.8284912109375,0.013447591357708701,1.3853774070739746,-0.15137098729610443,,2.6457513110645907,0.484375,0.125,2352
15,0.640625,0.640625,0.43064663023679417,111,2.433837890625,0.014510623610439737,1.7299916744232178,0.29802048206329346,,2.6457513110645907,0.640625,0.3125,2744
16,0.4375,0.4375,0.4430163447251114,117,2.16845703125,0.012446919352882058,0.8999127149581909,0.5366604328155518,,2.6457513110645907,0.4375,0.1875,3366
17,0.5703125,0.5703125,0.4241386925795053,93,1.77618408203125,0.016179751918278883,1.3202428817749023,0.291842520236969,,2.6457513110645907,0.5703125,0.25,2264
18,0.7265625,0.7265625,0.35846774193548386,116,3.3602294921875,0.04186429540652189,1.9469389915466309,0.5336641669273376,,2.6457513110645907,0.7265625,0.3125,2790
19,0.6640625,0.6640625,0.40345056403450563,118,2.69781494140625,0.017845366410923384,1.1221997737884521,0.012239563278853893,,2.6457513110645907,0.6640625,0.25,3013
20,0.515625,0.515625,0.3917194301543332,105,1.847412109375,0.01602991884342356,1.1779460906982422,0.5037679076194763,,2.6457513110645907,0.515625,0.375,2527
21,0.7265625,0.7265625,0.34724850204982655,115,2.63812255859375,0.024144527857187372,0.751737654209137,-0.45046621561050415,,2.6457513110645907,0.7265625,0.3125,3172
