step,proxy_reward,true_reward,policy_entropy,distinct_completions,kl_to_ref,kl_loss_fraction,grad_norm,half_batch_grad_cosine,half_batch_grad_cosine_centered,max_abs_advantage,group_pass_rate,frac_degenerate_groups,tokens
0,0.671875,0.671875,0.5896347736625515,99,0.0,0.0,8.551066398620605,0.6097145080566406,,2.6457513110645907,0.671875,0.125,972
1,0.8203125,0.8203125,0.48911549037580204,87,0.06976318359375,0.000861778882018331,5.976246356964111,0.5671831369400024,,2.6457513110645907,0.8203125,0.25,1091
2,0.84375,0.84375,0.42710120068610635,79,0.4337158203125,0.006192484798335532,2.540266275405884,0.032629940658807755,,2.6457513110645907,0.84375,0.25,1166
3,0.8515625,0.8515625,0.31201758147512865,70,0.89666748046875,0.01297110058077645,2.1356425285339355,0.07521585375070572,,2.6457513110645907,0.8515625,0.4375,1166
4,0.8984375,0.8984375,0.2944582299421009,71,0.94232177734375,0.018210155017232867,1.6906012296676636,0.21720977127552032,,2.6457513110645907,0.8984375,0.5,1209
5,0.921875,0.921875,0.22685185185185186,52,2.2406005859375,0.06911737420383428,1.8664767742156982,-0.010495097376406193,,2.6457513110645907,0.921875,0.5625,1188
6,0.96875,0.96875,0.17065363881401618,37,1.468017578125,0.15342566315877093,1.0091056823730469,0.3161981701850891,,2.6457513110645907,0.96875,0.8125,1113
7,0.9921875,0.9921875,0.19171861564918316,49,4.845703125,0.7158876868519709,3.019329071044922,0.6693922877311707,,2.6457513110645907,0.9921875,0.9375,1163
8,0.9296875,0.9296875,0.1723468028419183,47,1.36346435546875,0.03881841774533449,1.3761637210845947,-0.006117656361311674,,2.6457513110645907,0.9296875,0.625,1126
9,1.0,1.0,0.11969367356538099,29,0.82373046875,1.0,0.19106915593147278,0.9570581912994385,,0.0,1.0,1.0,1063
10,0.9921875,0.9921875,0.1474967277486911,39,1.26287841796875,0.4244956832626261,0.3595287501811981,0.5014108419418335,,2.6457513110645907,0.9921875,0.9375,1146
11,0.984375,0.984375,0.13288808267370272,39,1.8211669921875,0.09202376768999006,0.7455542683601379,0.503967821598053,,2.6457513110645907,0.984375,0.875,1137
12,0.9921875,0.9921875,0.14778267634854772,36,1.232421875,0.12972056293789616,0.3400927186012268,0.07745356857776642,,2.6457513110645907,0.9921875,0.9375,1205
13,0.9609375,0.9609375,0.1987339871897518,44,1.86676025390625,0.07578841161595211,0.9458237290382385,-0.018498530611395836,,2.6457513110645907,0.9609375,0.75,1249
14,1.0,1.0,0.1551517571884984,41,1.12945556640625,1.0,0.16128720343112946,0.8070729374885559,,0.0,1.0,1.0,1252
15,0.9921875,0.9921875,0.15460246598639457,42,0.9190673828125,0.11219188082794049,0.4726506769657135,0.629732072353363,,2.6457513110645907,0.9921875,0.9375,1176
16,0.9921875,0.9921875,0.16257610350076104,46,1.983642578125,0.3422098613038458,0.3319568634033203,-0.2754388153553009,,2.6457513110645907,0.9921875,0.9375,1314
17,0.9921875,0.9921875,0.17443885448916407,57,1.42974853515625,0.2884725434258338,0.44690245389938354,0.0665474683046341,,2.6457513110645907,0.9921875,0.9375,1292
18,0.9921875,0.9921875,0.17099103585657371,60,1.27764892578125,0.26495653778574574,0.35630032420158386,0.24127115309238434,,2.6457513110645907,0.9921875,0.9375,1255
19,1.0,1.0,0.1795376055257099,66,1.20330810546875,1.0,0.30402567982673645,0.585648238658905,,0.0,1.0,1.0,1303
20,1.0,1.0,0.18764044943820224,61,1.54656982421875,1.0,0.3510299026966095,0.8980162143707275,,0.0,1.0,1.0,1335
21,0.9765625,0.9765625,0.2057052752293578,56,1.55419921875,0.12903958724442532,0.8517482876777649,0.04274646192789078,,2.6457513110645907,0.9765625,0.8125,1308
22,0.984375,0.984375,0.1863984674329502,55,1.58935546875,0.14344770465384798,0.8483746647834778,0.13182732462882996,,2.6457513110645907,0.984375,0.875,1305
23,0.984375,0.984375,0.2083018154311649,61,2.09344482421875,0.23283701618301536,0.8534620404243469,0.05371797829866409,,2.6457513110645907,0.984375,0.875,1322
24,0.984375,0.984375,0.19327731092436976,59,2.172607421875,0.09898872833987106,1.1570930480957031,0.11640304327011108,,2.6457513110645907,0.984375,0.875,1309
25,1.0,1.0,0.22148058252427186,63,1.32257080078125,1.0,0.39187678694725037,0.7513865232467651,,0.0,1.0,1.0,1236
26,0.984375,0.984375,0.22514147130153597,65,1.50689697265625,0.1351190246807217,0.6527196168899536,0.29231902956962585,,2.6457513110645907,0.984375,0.875,1237
27,0.9921875,0.9921875,0.2408791866028708,68,3.94573974609375,0.29073133213130764,1.585687518119812,0.11466874927282333,,2.6457513110645907,0.9921875,0.9375,1254
28,0.984375,0.984375,0.30909552845528454,65,1.6859130859375,0.07802679514776936,0.40799790620803833,0.44288450479507446,,2.6457513110645907,0.984375,0.875,1230
29,1.0,1.0,0.2462136929460581,60,0.97735595703125,1.0,0.10399031639099121,0.5285879969596863,,0.0,1.0,1.0,1205
