step,proxy_reward,true_reward,policy_entropy,distinct_completions,kl_to_ref,kl_loss_fraction,grad_norm,half_batch_grad_cosine,half_batch_grad_cosine_centered,max_abs_advantage,group_pass_rate,frac_degenerate_groups,tokens
0,0.515625,0.515625,0.47767564018384767,97,0.0,0.0,30.843435287475586,0.6789249181747437,,2.6457513110645907,0.515625,0.1875,1523
1,0.46875,0.46875,0.4343255051884216,98,0.02374267578125,0.0002827031801927542,34.62489318847656,0.5083692669868469,,2.6457513110645907,0.46875,0.25,1831
2,0.5859375,0.5859375,0.4286504424778761,100,0.05377197265625,0.0006269097264225727,61.67758560180664,0.8925405144691467,,2.6457513110645907,0.5859375,0.3125,1808
3,0.5859375,0.5859375,0.3804093567251462,93,0.1568603515625,0.001972369558356141,20.034807205200195,0.443893700838089,,2.6457513110645907,0.5859375,0.1875,1710
4,0.53125,0.53125,0.34507205950720593,104,0.36871337890625,0.0041185846958546905,16.395267486572266,0.08327817171812057,,2.6457513110645907,0.53125,0.1875,2151
5,0.6875,0.6875,0.2962178440179665,100,0.66729736328125,0.01038414719787473,16.330724716186523,0.2453942894935608,,2.6457513110645907,0.6875,0.4375,2449
6,0.765625,0.765625,0.2501877581674803,100,0.810302734375,0.008627496342931931,15.488523483276367,0.07973325997591019,,2.6457513110645907,0.765625,0.25,2663
7,0.71875,0.71875,0.2540983606557377,95,1.11859130859375,0.012248451692315712,13.456674575805664,0.2699778378009796,,2.6457513110645907,0.71875,0.3125,2623
8,0.8046875,0.8046875,0.23050053059780687,108,1.423583984375,0.018609156256993692,11.01698112487793,-0.2536807656288147,,2.6457513110645907,0.8046875,0.375,2827
9,0.453125,0.453125,0.2543148996125396,114,1.509521484375,0.01685924622154721,13.58406925201416,0.4307407736778259,,2.6457513110645907,0.453125,0.25,2839
10,0.78125,0.78125,0.24302251823660007,109,0.8682861328125,0.010332366504858775,10.383866310119629,-0.03701257333159447,,2.6457513110645907,0.78125,0.5,3153
11,0.71875,0.71875,0.22609325605900948,92,1.26007080078125,0.015182365805296914,10.177674293518066,0.15829381346702576,,2.6457513110645907,0.71875,0.3125,2847
12,0.578125,0.578125,0.2567498291182502,109,1.52276611328125,0.01500692631995568,10.867127418518066,-0.10280319303274155,,2.6457513110645907,0.578125,0.25,2926
13,0.6640625,0.6640625,0.2167482660138719,95,1.1287841796875,0.027387477307759447,12.652091979980469,0.43458467721939087,,2.6457513110645907,0.6640625,0.5,2451
14,0.453125,0.453125,0.2396916457511653,99,1.6209716796875,0.016640137141095617,10.74038028717041,0.11929695308208466,,2.6457513110645907,0.453125,0.25,2789
15,0.6796875,0.6796875,0.2504733141002524,108,1.5386962890625,0.018373497268755215,11.062875747680664,0.19473329186439514,,2.6457513110645907,0.6796875,0.375,2773
16,0.4921875,0.4921875,0.26245928338762214,113,1.39617919921875,0.013657684686600917,13.228374481201172,0.3267417848110199,,2.6457513110645907,0.4921875,0.375,3070
17,0.5625,0.5625,0.22643253234750463,105,2.05145263671875,0.03266459243119478,10.940497398376465,-0.15043991804122925,,2.6457513110645907,0.5625,0.375,2705
18,0.7421875,0.7421875,0.21197341160220995,94,1.34320068359375,0.03079163909126397,5.697274208068848,-0.3874891698360443,,1.7320508075688774,0.7421875,0.6875,2896
19,0.7109375,0.7109375,0.2189200680272109,106,1.81414794921875,0.04143383975002806,8.925477027893066,-0.27730700373649597,,2.6457513110645907,0.7109375,0.625,2940
20,0.578125,0.578125,0.23271320381955876,111,2.15899658203125,0.01883654901833399,11.93786907196045,-0.3368363678455353,,2.6457513110645907,0.578125,0.1875,3037
21,0.7578125,0.7578125,0.20753942181340343,104,1.47076416015625,0.015544350618416415,10.732709884643555,-0.1833556592464447,,2.6457513110645907,0.7578125,0.3125,3044
22,0.796875,0.796875,0.19834398117014124,95,1.37017822265625,0.022545687179469157,9.233790397644043,-0.23947548866271973,,2.6457513110645907,0.796875,0.4375,2974
23,0.796875,0.796875,0.21235955056179776,99,2.4267578125,0.03414714792731707,10.883979797363281,0.31059572100639343,,2.6457513110645907,0.796875,0.4375,3115
24,0.7421875,0.7421875,0.2277402896642528,105,2.32232666015625,0.02957360426213084,9.562405586242676,-0.14380118250846863,,2.6457513110645907,0.7421875,0.5625,3037
25,0.7578125,0.7578125,0.2141553269166943,102,1.895751953125,0.023727628822270055,9.220520973205566,0.1778285801410675,,2.6457513110645907,0.7578125,0.375,3013
26,0.734375,0.734375,0.203125,93,2.80859375,0.04336004545568048,9.736199378967285,-0.07792052626609802,,2.6457513110645907,0.734375,0.375,2848
27,0.671875,0.671875,0.21302117802779616,105,1.977294921875,0.03142470937042424,6.2988715171813965,-0.22808091342449188,,2.6457513110645907,0.671875,0.5625,3022
28,0.8203125,0.8203125,0.1986744261235047,102,1.48486328125,0.029244672896746877,9.484673500061035,-0.1083763986825943,,1.7320508075688774,0.8203125,0.625,3093
