(Step 1) | Policy v0 |    2.2s | Reward 0.6113
(Step 100) | Policy v97 |    3.3s | Reward 0.9961
(Step 125) | Policy v122 |    3.5s | Reward 0.9980
(Step 150) | Policy v145 |    2.7s | Reward 1.0000
(Step 175) | Policy v172 |    2.8s | Reward 0.9883
(Step 200) | Policy v198 |    7.2s | Reward 1.0000
(Step 25) | Policy v22 |    7.4s | Reward 0.7266
(Step 50) | Policy v47 |    3.3s | Reward 0.7598
(Step 75) | Policy v71 |    2.9s | Reward 0.9766
Step 1 |   12.1s | Reward 0.4375 | Trainable 96/128
Step 10 |    5.1s | Reward 0.6125 | Trainable 80/128
Step 100 |    1.0s | Reward 0.8125 | Trainable 16/128
Step 101 |   27.4s | Reward 0.6750 | Trainable 40/128
Step 102 |    1.0s | Reward 0.7750 | Trainable 40/128
Step 103 |   28.6s | Reward 0.8000 | Trainable 40/128
Step 104 |    1.1s | Reward 0.7083 | Trainable 24/128
Step 105 |   889ms | Reward 0.8750 | Trainable 24/128
Step 106 |   31.4s | Reward 0.6875 | Trainable 32/128
Step 107 |   854ms | Reward 0.5625 | Trainable 32/128
Step 108 |   866ms | Reward 0.6250 | Trainable 24/128
Step 109 |   27.1s | Reward 0.7083 | Trainable 24/128
Step 11 |   867ms | Reward 0.6364 | Trainable 88/128
Step 110 |   779ms | Reward 0.7500 | Trainable 32/128
Step 111 |   667ms | Reward 0.6875 | Trainable 16/128
Step 112 |   29.5s | Reward 0.8750 | Trainable 32/128
Step 113 |   873ms | Reward 0.5625 | Trainable 16/128
Step 114 |   904ms | Reward 0.8750 | Trainable 16/128
Step 115 |   28.6s | Reward 0.8750 | Trainable 24/128
Step 116 |   665ms | Reward 0.8125 | Trainable 16/128
Step 117 |   764ms | Reward 0.8438 | Trainable 32/128
Step 118 |   29.4s | Reward 0.8750 | Trainable 16/128
Step 119 |   762ms | Reward 0.8438 | Trainable 32/128
Step 12 |   22.5s | Reward 0.6250 | Trainable 104/128
Step 120 |   27.3s | Reward 0.6875 | Trainable 48/128
Step 121 |   737ms | Reward 0.6875 | Trainable 32/128
Step 122 |   735ms | Reward 0.5000 | Trainable 16/128
Step 123 |   32.5s | Reward 0.7917 | Trainable 24/128
Step 124 |    4.8s | Reward 0.5938 | Trainable 32/128
Step 125 |    1.3s | Reward 0.8125 | Trainable 32/128
Step 126 |   24.3s | Reward 0.8333 | Trainable 24/128
Step 127 |   657ms | Reward 0.8750 | Trainable 24/128
Step 128 |   709ms | Reward 0.6250 | Trainable 32/128
Step 129 |   28.4s | Reward 0.6042 | Trainable 48/128
Step 13 |   761ms | Reward 0.6354 | Trainable 96/128
Step 130 |   880ms | Reward 0.8333 | Trainable 48/128
Step 131 |   905ms | Reward 0.7083 | Trainable 24/128
Step 132 |   27.7s | Reward 0.7917 | Trainable 24/128
Step 133 |    1.0s | Reward 0.8750 | Trainable 24/128
Step 134 |   768ms | Reward 0.8750 | Trainable 16/256
Step 135 |   774ms | Reward 0.8333 | Trainable 24/128
Step 136 |    4.4s | Reward 0.5000 | Trainable 16/128
Step 137 |   26.7s | Reward 0.4167 | Trainable 24/128
Step 138 |   742ms | Reward 0.7500 | Trainable 24/128
Step 139 |   674ms | Reward 0.8750 | Trainable 16/128
Step 14 |   722ms | Reward 0.5769 | Trainable 104/128
Step 140 |   29.0s | Reward 0.8750 | Trainable 8/128
Step 141 |    5.0s | Reward 0.8750 | Trainable 24/128
Step 142 |   923ms | Reward 0.7500 | Trainable 32/128
Step 143 |   207ms | Reward 0.8125 | Trainable 16/256
Step 144 |   906ms | Reward 0.8125 | Trainable 16/128
Step 145 |    1.1s | Reward 0.8125 | Trainable 16/128
Step 146 |   28.4s | Reward 0.7500 | Trainable 32/128
Step 147 |   794ms | Reward 0.8125 | Trainable 16/128
Step 148 |   923ms | Reward 0.8125 | Trainable 16/128
Step 149 |   696ms | Reward 0.8125 | Trainable 16/128
Step 15 |   29.4s | Reward 0.4659 | Trainable 88/128
Step 150 |   29.6s | Reward 0.8750 | Trainable 16/128
Step 151 |    1.3s | Reward 0.8750 | Trainable 8/128
Step 152 |   698ms | Reward 0.7500 | Trainable 32/128
Step 153 |   776ms | Reward 0.7500 | Trainable 8/128
Step 154 |   27.7s | Reward 0.6562 | Trainable 32/128
Step 155 |   908ms | Reward 0.8750 | Trainable 8/128
Step 156 |   25.7s | Reward 0.8750 | Trainable 16/256
Step 157 |    5.0s | Reward 0.8750 | Trainable 8/128
Step 158 |   877ms | Reward 0.8750 | Trainable 24/128
Step 159 |   26.3s | Reward 0.8125 | Trainable 16/128
Step 16 |    1.2s | Reward 0.5000 | Trainable 96/128
Step 160 |   895ms | Reward 0.6750 | Trainable 40/128
Step 161 |   879ms | Reward 0.6667 | Trainable 24/128
Step 162 |   28.2s | Reward 0.2500 | Trainable 8/128
Step 163 |   697ms | Reward 0.8750 | Trainable 8/128
Step 164 |   736ms | Reward 0.8750 | Trainable 8/128
Step 165 |   506ms | Reward 0.8750 | Trainable 16/256
Step 166 |    1.0s | Reward 0.7000 | Trainable 40/128
Step 167 |   26.1s | Reward 0.7500 | Trainable 8/256
Step 168 |   761ms | Reward 0.4583 | Trainable 24/128
Step 169 |   697ms | Reward 0.6875 | Trainable 32/128
Step 17 |   736ms | Reward 0.5000 | Trainable 104/128
Step 170 |   31.5s | Reward 0.7500 | Trainable 8/128
Step 171 |    4.9s | Reward 0.2500 | Trainable 8/128
Step 172 |   891ms | Reward 0.8750 | Trainable 8/128
Step 173 |   24.5s | Reward 0.8750 | Trainable 32/128
Step 174 |   826ms | Reward 0.5000 | Trainable 16/128
Step 175 |   604ms | Reward 0.7500 | Trainable 40/128
Step 176 |   29.4s | Reward 0.8750 | Trainable 16/128
Step 177 |    5.1s | Reward 0.8750 | Trainable 8/128
Step 178 |   278ms | Reward 0.8750 | Trainable 32/256
Step 179 |   24.3s | Reward 0.8750 | Trainable 16/128
Step 18 |   800ms | Reward 0.6375 | Trainable 80/128
Step 180 |    5.0s | Reward 0.8125 | Trainable 16/128
Step 181 |   22.4s | Reward 0.8125 | Trainable 16/256
Step 182 |   893ms | Reward 0.7917 | Trainable 24/128
Step 183 |   794ms | Reward 0.7500 | Trainable 24/128
Step 184 |   703ms | Reward 0.7917 | Trainable 24/128
Step 185 |   31.3s | Reward 0.7917 | Trainable 48/128
Step 186 |   981ms | Reward 0.8333 | Trainable 24/128
Step 187 |   912ms | Reward 0.8750 | Trainable 48/128
Step 188 |   26.3s | Reward 0.8125 | Trainable 16/128
Step 189 |   772ms | Reward 0.8750 | Trainable 24/128
Step 19 |   30.1s | Reward 0.5625 | Trainable 112/128
Step 190 |   807ms | Reward 0.8750 | Trainable 8/128
Step 191 |   29.5s | Reward 0.7500 | Trainable 8/128
Step 192 |   852ms | Reward 0.6250 | Trainable 16/128
Step 193 |   939ms | Reward 0.7917 | Trainable 24/128
Step 194 |   656ms | Reward 0.7917 | Trainable 24/128
Step 195 |    5.0s | Reward 0.7500 | Trainable 8/256
Step 196 |   571ms | Reward 0.8750 | Trainable 32/256
Step 197 |   751ms | Reward 0.8438 | Trainable 32/128
Step 198 |   711ms | Reward 0.8125 | Trainable 16/128
Step 199 |   21.4s | Reward 0.7500 | Trainable 16/128
Step 2 |    1.1s | Reward 0.4231 | Trainable 104/128
Step 20 |   669ms | Reward 0.5625 | Trainable 64/128
Step 200 |    5.1s | Reward 0.8500 | Trainable 40/128
Step 21 |    4.5s | Reward 0.5000 | Trainable 88/128
Step 22 |   23.5s | Reward 0.5000 | Trainable 104/128
Step 23 |   818ms | Reward 0.5192 | Trainable 104/128
Step 24 |   27.4s | Reward 0.6696 | Trainable 112/128
Step 25 |   648ms | Reward 0.6389 | Trainable 72/128
Step 26 |   773ms | Reward 0.6111 | Trainable 72/128
Step 27 |   31.3s | Reward 0.4659 | Trainable 88/128
Step 28 |   849ms | Reward 0.7031 | Trainable 64/128
Step 29 |   26.0s | Reward 0.6364 | Trainable 88/128
Step 3 |   999ms | Reward 0.4615 | Trainable 104/128
Step 30 |    1.1s | Reward 0.5875 | Trainable 80/128
Step 31 |    4.0s | Reward 0.5455 | Trainable 88/128
Step 32 |   758ms | Reward 0.6136 | Trainable 88/128
Step 33 |   594ms | Reward 0.7031 | Trainable 64/128
Step 34 |   29.3s | Reward 0.6250 | Trainable 64/128
Step 35 |   918ms | Reward 0.5227 | Trainable 88/128
Step 36 |   841ms | Reward 0.4844 | Trainable 64/128
Step 37 |   676ms | Reward 0.4773 | Trainable 88/128
Step 38 |   27.2s | Reward 0.5000 | Trainable 88/128
Step 39 |   787ms | Reward 0.4583 | Trainable 72/128
Step 4 |   614ms | Reward 0.3304 | Trainable 112/128
Step 40 |   26.8s | Reward 0.4500 | Trainable 40/128
Step 41 |   632ms | Reward 0.6667 | Trainable 72/128
Step 42 |    4.5s | Reward 0.5682 | Trainable 88/128
Step 43 |   26.5s | Reward 0.4250 | Trainable 80/128
Step 44 |   785ms | Reward 0.5469 | Trainable 64/128
Step 45 |   26.9s | Reward 0.5893 | Trainable 56/128
Step 46 |   697ms | Reward 0.6042 | Trainable 48/128
Step 47 |   681ms | Reward 0.5714 | Trainable 56/128
Step 48 |   31.6s | Reward 0.5909 | Trainable 88/128
Step 49 |   809ms | Reward 0.6667 | Trainable 96/128
