run,word,seed,batch,step,train_reward,solved_all,is_trainable,zero_advantage_filtered,eval_reward
r1-forgotten-s0,forgotten,0,1,1,0.1640625,0.0,0.6875,0.3046875,0.25
r1-forgotten-s0,forgotten,0,1,2,0.234375,0.0,0.6875,0.3125,
r1-forgotten-s0,forgotten,0,1,3,0.28125,0.0,0.75,0.234375,
r1-forgotten-s0,forgotten,0,1,4,0.3046875,0.0,0.8125,0.1875,
r1-forgotten-s0,forgotten,0,1,5,0.3515625,0.0625,0.75,0.2265625,0.46484375
r1-forgotten-s0,forgotten,0,1,6,0.3359375,0.0,0.75,0.25,
r1-forgotten-s0,forgotten,0,1,7,0.375,0.0,0.8125,0.1875,
r1-forgotten-s0,forgotten,0,1,8,0.5,0.0625,0.8125,0.1875,
r1-forgotten-s0,forgotten,0,1,9,0.578125,0.1875,0.6875,0.2890625,
r1-forgotten-s0,forgotten,0,1,10,0.640625,0.0625,0.875,0.1171875,0.8359375
r1-forgotten-s0,forgotten,0,1,11,0.765625,0.375,0.625,0.375,
r1-forgotten-s0,forgotten,0,1,12,0.7734375,0.5625,0.3125,0.640625,
r1-forgotten-s0,forgotten,0,1,13,0.9765625,0.9375,0.0625,0.875,
r1-forgotten-s0,forgotten,0,1,14,1.0,1.0,0.0,0.9296875,
r1-forgotten-s0,forgotten,0,1,15,0.9921875,0.9375,0.0625,0.8984375,0.97265625
r1-forgotten-s0,forgotten,0,1,16,0.96875,0.875,0.125,0.84375,
r1-forgotten-s0,forgotten,0,1,17,1.0,1.0,0.0,0.9609375,
r1-forgotten-s0,forgotten,0,1,18,1.0,1.0,0.0,0.9296875,
r1-forgotten-s0,forgotten,0,1,19,1.0,1.0,0.0,0.9296875,
r1-forgotten-s0,forgotten,0,1,20,1.0,1.0,0.0,0.9375,1.0
r1-forgotten-s0,forgotten,0,1,21,1.0,1.0,0.0,0.9609375,
r1-forgotten-s0,forgotten,0,1,22,1.0,1.0,0.0,0.9453125,
r1-forgotten-s0,forgotten,0,1,23,1.0,1.0,0.0,0.9765625,
r1-forgotten-s0,forgotten,0,1,24,1.0,1.0,0.0,0.9609375,
r1-forgotten-s0,forgotten,0,1,25,1.0,1.0,0.0,0.9765625,1.0
r1-forgotten-s0,forgotten,0,1,26,1.0,1.0,0.0,0.96875,
r1-forgotten-s0,forgotten,0,1,27,1.0,1.0,0.0,0.9921875,
r1-forgotten-s0,forgotten,0,1,28,1.0,1.0,0.0,0.9921875,
r1-forgotten-s0,forgotten,0,1,29,1.0,1.0,0.0,0.9453125,
r1-forgotten-s0,forgotten,0,1,30,1.0,1.0,0.0,0.9609375,0.9609375
r1-forgotten-s0,forgotten,0,1,31,1.0,1.0,0.0,0.96875,
r1-forgotten-s0,forgotten,0,1,32,1.0,1.0,0.0,0.9453125,
r1-forgotten-s0,forgotten,0,1,33,1.0,1.0,0.0,0.9921875,
r1-forgotten-s0,forgotten,0,1,34,1.0,1.0,0.0,0.984375,
r1-forgotten-s0,forgotten,0,1,35,1.0,1.0,0.0,0.984375,1.0
r1-forgotten-s0,forgotten,0,1,36,1.0,1.0,0.0,0.984375,
r1-forgotten-s0,forgotten,0,1,37,1.0,1.0,0.0,0.9765625,
r1-forgotten-s0,forgotten,0,1,38,1.0,1.0,0.0,0.9921875,
r1-forgotten-s0,forgotten,0,1,39,1.0,1.0,0.0,0.984375,
r1-forgotten-s0,forgotten,0,1,40,1.0,1.0,0.0,0.9765625,1.0
r1-forgotten-s0,forgotten,0,1,41,1.0,1.0,0.0,0.9765625,
r1-forgotten-s0,forgotten,0,1,42,1.0,1.0,0.0,0.96875,
r1-forgotten-s0,forgotten,0,1,43,1.0,1.0,0.0,0.984375,
r1-forgotten-s0,forgotten,0,1,44,1.0,1.0,0.0,0.9765625,
r1-forgotten-s0,forgotten,0,1,45,1.0,1.0,0.0,0.98828125,1.0
r1-forgotten-s0,forgotten,0,1,46,1.0,1.0,0.0,0.96875,
r1-forgotten-s0,forgotten,0,1,47,0.9926470588235294,0.9411764705882353,0.0,0.9264705882352942,
r1-forgotten-s0,forgotten,0,1,48,1.0,1.0,0.0,0.9296875,
r1-forgotten-s0,forgotten,0,1,49,1.0,1.0,0.0,0.9140625,
